depth,PAR_ADJUSTED
0.0,260.8768
5.0,151.4152
10.0,99.5
15.0,65.7828
20.0,38.1235
25.0,33.4244
30.0,20.0423
35.0,18.7771
40.0,13.6705
45.0,11.369
50.0,7.8547
55.0,4.8849
60.0,4.7209
65.0,2.6262
70.0,1.7849
75.0,1.0855
80.0,0.7587
85.0,0.4684
90.0,0.3443
95.0,0.2448
100.0,0.1666
105.0,0.1254
110.0,0.071
115.0,0.0546
120.0,0.0321
125.0,0.0298
130.0,0.0214
135.0,0.013
140.0,0.0115
145.0,0.0074
150.0,0.0065
155.0,0.0053
160.0,0.0041
165.0,0.0038
170.0,0.0033
175.0,0.003
180.0,0.0021
185.0,0.0018
190.0,0.0021
195.0,0.003
200.0,0.0032
205.0,0.0029
210.0,0.0027
215.0,0.0022
220.0,0.0033
225.0,0.0029
230.0,0.0035
235.0,0.0024
240.0,0.0023
245.0,0.0022
250.0,0.0014
