depth,PAR_ADJUSTED
0.0,278.387
5.0,144.5068
10.0,76.3483
15.0,50.9884
20.0,27.0262
25.0,20.2542
30.0,12.9996
35.0,8.6123
40.0,5.2061
45.0,3.5711
50.0,2.2957
55.0,1.725
60.0,1.1154
65.0,0.6994
70.0,0.4985
75.0,0.3336
80.0,0.234
85.0,0.1512
90.0,0.1064
95.0,0.0842
100.0,0.0547
105.0,0.0458
110.0,0.0286
115.0,0.0264
120.0,0.0151
125.0,0.0132
130.0,0.011
135.0,0.0073
140.0,0.0069
145.0,0.0051
150.0,0.0044
155.0,0.0035
160.0,0.0031
165.0,0.0027
170.0,0.002
175.0,0.0015
180.0,0.0015
185.0,0.0012
190.0,0.0014
195.0,0.0013
200.0,0.0015
205.0,0.0013
210.0,0.0013
215.0,0.001
220.0,0.0012
225.0,0.0012
230.0,0.0013
235.0,0.001
240.0,0.001
245.0,0.0011
250.0,0.0009
