depth,PAR_ADJUSTED
0.0,328.4465
5.0,177.0601
10.0,106.9483
15.0,66.6352
20.0,39.2493
25.0,31.4185
30.0,18.9264
35.0,15.7566
40.0,10.6737
45.0,9.0151
50.0,5.8004
55.0,3.7299
60.0,3.3539
65.0,1.8955
70.0,1.2239
75.0,0.8321
80.0,0.5276
85.0,0.3233
90.0,0.2492
95.0,0.1744
100.0,0.1108
105.0,0.0898
110.0,0.0528
115.0,0.0417
120.0,0.0253
125.0,0.0226
130.0,0.0155
135.0,0.0096
140.0,0.0089
145.0,0.0067
150.0,0.005
155.0,0.0041
160.0,0.0035
165.0,0.0029
170.0,0.0025
175.0,0.0018
180.0,0.0018
185.0,0.0013
190.0,0.0015
195.0,0.0017
200.0,0.0018
205.0,0.0017
210.0,0.0018
215.0,0.0014
220.0,0.0017
225.0,0.0017
230.0,0.0022
235.0,0.0013
240.0,0.0013
245.0,0.0014
250.0,0.001
