depth,PAR_ADJUSTED
0.0,363.9721
5.0,198.6041
10.0,109.8129
15.0,69.6958
20.0,43.2071
25.0,28.2077
30.0,17.4473
35.0,10.7959
40.0,6.1106
45.0,4.7262
50.0,2.9751
55.0,2.071
60.0,1.4571
65.0,1.0344
70.0,0.7813
75.0,0.5879
80.0,0.4476
85.0,0.3537
90.0,0.2485
95.0,0.2024
100.0,0.1504
105.0,0.1331
110.0,0.106
115.0,0.0776
120.0,0.0583
125.0,0.0569
130.0,0.0405
135.0,0.0353
140.0,0.0355
145.0,0.0225
150.0,0.0212
155.0,0.0187
160.0,0.0198
165.0,0.0138
170.0,0.013
175.0,0.012
180.0,0.0098
185.0,0.0115
190.0,0.011
195.0,0.0122
200.0,0.0145
205.0,0.0121
210.0,0.0135
215.0,0.011
220.0,0.0139
225.0,0.0116
230.0,0.0119
235.0,0.0104
240.0,0.0091
245.0,0.0087
250.0,0.0072
