Depth_modeled,PAR_modeled,Light_measured,PAR_modeled_mean_1_20m,Light_measured_mean_1_20m,Kd_modeled_1_20m,Kd_measured_1_20m,Fluo_measured_mean_1_20m,Tag_ID,Profile,Satellite,N_VALID_PIXELS,CV_RRS,CV_KD490,CV_PAR,SolarAlt,Lat,Lon,Bathy,DOY
0.0,242.7924,,15.031652631578948,20.736459351215192,0.0831107306727975,0.0774058081218215,1.0862355298143096,ct157-F116-20,1,SUOMI_NPP,19,0.0349841571791814,0.0209143608808517,0.0003364357689861,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
5.0,118.1383,129.0544862179404,15.031652631578948,20.736459351215192,0.0831107306727975,0.0774058081218215,1.0862355298143096,ct157-F116-20,1,SUOMI_NPP,19,0.0349841571791814,0.0209143608808517,0.0003364357689861,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
10.0,60.9146,87.00964123756827,15.031652631578948,20.736459351215192,0.0831107306727975,0.0774058081218215,1.0862355298143096,ct157-F116-20,1,SUOMI_NPP,19,0.0349841571791814,0.0209143608808517,0.0003364357689861,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
15.0,40.4066,59.537504197849266,15.031652631578948,20.736459351215192,0.0831107306727975,0.0774058081218215,1.0862355298143096,ct157-F116-20,1,SUOMI_NPP,19,0.0349841571791814,0.0209143608808517,0.0003364357689861,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
20.0,22.3949,40.41034773889964,15.031652631578948,20.736459351215192,0.0831107306727975,0.0774058081218215,1.0862355298143096,ct157-F116-20,1,SUOMI_NPP,19,0.0349841571791814,0.0209143608808517,0.0003364357689861,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
25.0,15.1479,27.29115667931308,15.031652631578948,20.736459351215192,0.0831107306727975,0.0774058081218215,1.0862355298143096,ct157-F116-20,1,SUOMI_NPP,19,0.0349841571791814,0.0209143608808517,0.0003364357689861,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
30.0,9.8266,17.995879993936203,15.031652631578948,20.736459351215192,0.0831107306727975,0.0774058081218215,1.0862355298143096,ct157-F116-20,1,SUOMI_NPP,19,0.0349841571791814,0.0209143608808517,0.0003364357689861,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
35.0,6.3736,11.252719998470397,15.031652631578948,20.736459351215192,0.0831107306727975,0.0774058081218215,1.0862355298143096,ct157-F116-20,1,SUOMI_NPP,19,0.0349841571791814,0.0209143608808517,0.0003364357689861,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
40.0,3.9859,6.971662153242231,15.031652631578948,20.736459351215192,0.0831107306727975,0.0774058081218215,1.0862355298143096,ct157-F116-20,1,SUOMI_NPP,19,0.0349841571791814,0.0209143608808517,0.0003364357689861,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
45.0,2.5873,4.571531880749506,15.031652631578948,20.736459351215192,0.0831107306727975,0.0774058081218215,1.0862355298143096,ct157-F116-20,1,SUOMI_NPP,19,0.0349841571791814,0.0209143608808517,0.0003364357689861,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
