Depth_modeled,PAR_modeled,Light_measured,PAR_modeled_mean_1_20m,Light_measured_mean_1_20m,Kd_modeled_1_20m,Kd_measured_1_20m,Fluo_measured_mean_1_20m,Tag_ID,Profile,SolarAlt,Lat,Lon,Bathy,DOY
0.0,263.8677,,13.081584210526318,7.45995732004383,0.1038561649448595,0.1322542566319594,1.0909099745904791,ct182-865F-24,6,26.076718471330636,-50.4035,70.9532,-683.5928344726562,25
5.0,125.311,66.6482419350532,13.081584210526318,7.45995732004383,0.1038561649448595,0.1322542566319594,1.0909099745904791,ct182-865F-24,6,26.076718471330636,-50.4035,70.9532,-683.5928344726562,25
10.0,56.6534,35.7011565286238,13.081584210526318,7.45995732004383,0.1038561649448595,0.1322542566319594,1.0909099745904791,ct182-865F-24,6,26.076718471330636,-50.4035,70.9532,-683.5928344726562,25
15.0,31.2468,19.09620383600174,13.081584210526318,7.45995732004383,0.1038561649448595,0.1322542566319594,1.0909099745904791,ct182-865F-24,6,26.076718471330636,-50.4035,70.9532,-683.5928344726562,25
20.0,15.2987,9.497737473888014,13.081584210526318,7.45995732004383,0.1038561649448595,0.1322542566319594,1.0909099745904791,ct182-865F-24,6,26.076718471330636,-50.4035,70.9532,-683.5928344726562,25
25.0,9.1613,4.700864671338011,13.081584210526318,7.45995732004383,0.1038561649448595,0.1322542566319594,1.0909099745904791,ct182-865F-24,6,26.076718471330636,-50.4035,70.9532,-683.5928344726562,25
30.0,4.5335,2.677327853629405,13.081584210526318,7.45995732004383,0.1038561649448595,0.1322542566319594,1.0909099745904791,ct182-865F-24,6,26.076718471330636,-50.4035,70.9532,-683.5928344726562,25
35.0,2.7894,1.6123607292928095,13.081584210526318,7.45995732004383,0.1038561649448595,0.1322542566319594,1.0909099745904791,ct182-865F-24,6,26.076718471330636,-50.4035,70.9532,-683.5928344726562,25
40.0,1.5365,0.8688279848200848,13.081584210526318,7.45995732004383,0.1038561649448595,0.1322542566319594,1.0909099745904791,ct182-865F-24,6,26.076718471330636,-50.4035,70.9532,-683.5928344726562,25
45.0,0.7895,0.417825156190959,13.081584210526318,7.45995732004383,0.1038561649448595,0.1322542566319594,1.0909099745904791,ct182-865F-24,6,26.076718471330636,-50.4035,70.9532,-683.5928344726562,25
