depth,ED380_ADJUSTED
0.0,0.07183
5.0,0.05142
10.0,0.03076
15.0,0.01942
20.0,0.01173
25.0,0.00766
30.0,0.00478
35.0,0.0035
40.0,0.00243
45.0,0.00155
50.0,0.00111
55.0,0.00082
60.0,0.00058
65.0,0.00042
70.0,0.00027
75.0,0.00019
80.0,0.00014
85.0,0.0001
90.0,8e-05
95.0,6e-05
100.0,5e-05
105.0,3e-05
110.0,2e-05
115.0,2e-05
120.0,1e-05
125.0,1e-05
130.0,1e-05
135.0,1e-05
140.0,1e-05
145.0,0.0
150.0,0.0
155.0,0.0
160.0,0.0
165.0,0.0
170.0,0.0
175.0,0.0
180.0,0.0
185.0,0.0
190.0,0.0
195.0,0.0
200.0,0.0
205.0,0.0
210.0,0.0
215.0,0.0
220.0,1e-05
225.0,0.0
230.0,0.0
235.0,0.0
240.0,1e-05
245.0,1e-05
250.0,1e-05
