depth,ED380_ADJUSTED
0.0,0.18183
5.0,0.12463
10.0,0.0752
15.0,0.0484
20.0,0.0304
25.0,0.01988
30.0,0.01229
35.0,0.00868
40.0,0.00627
45.0,0.00416
50.0,0.00292
55.0,0.00212
60.0,0.00148
65.0,0.00101
70.0,0.00074
75.0,0.00053
80.0,0.00038
85.0,0.00027
90.0,0.00019
95.0,0.00013
100.0,0.0001
105.0,7e-05
110.0,5e-05
115.0,3e-05
120.0,3e-05
125.0,2e-05
130.0,1e-05
135.0,1e-05
140.0,1e-05
145.0,1e-05
150.0,1e-05
155.0,0.0
160.0,0.0
165.0,0.0
170.0,0.0
175.0,0.0
180.0,0.0
185.0,0.0
190.0,0.0
195.0,0.0
200.0,0.0
205.0,0.0
210.0,0.0
215.0,0.0
220.0,0.0
225.0,0.0
230.0,0.0
235.0,0.0
240.0,0.0
245.0,0.0
250.0,0.0
