SEALTAG_NC_FILE,TAG_ID,PROFILE_NUM,RRS412,RRS443,RRS490,RRS555,RRS670,KD490,PAR,SATELLITE,N_VALID_PIXELS,CV_RRS,CV_KD490,CV_PAR
/Volumes/Data/Work/SEALTAGS/Prydz/FLUO_LIGHT/PROCESSED/NC/ct157-F118-20_all_prof_PROCESSED.nc,ct157-F118-20,19,0.0093302870435374,0.0086425718452249,0.0078968586666243,0.0028791432934147,0.0002628586121967,0.0425399988889694,58.1338005065918,SUOMI_NPP,7,0.0249566837692142,0.0518462173640728,0.0113384490832686
/Volumes/Data/Work/SEALTAGS/Prydz/FLUO_LIGHT/PROCESSED/NC/ct157-F118-20_all_prof_PROCESSED.nc,ct157-F118-20,19,0.0115710916844281,0.0100680010562593,0.0088720010085539,0.003081818873232,0.0003589110618287,0.0430499985814094,57.62825012207031,NOAA_20,11,0.0106847402488828,0.0182534605264663,0.0004501428920775
/Volumes/Data/Work/SEALTAGS/Prydz/FLUO_LIGHT/PROCESSED/NC/ct157-F118-20_all_prof_PROCESSED.nc,ct157-F118-20,19,0.0106493346393108,0.0091193340097864,0.008195667527616,0.0025565006459752,0.0002813342337807,0.0407280027866363,58.58271789550781,AQUA,12,0.0063801738138143,0.0131678143516182,0.0111581524834036
/Volumes/Data/Work/SEALTAGS/Prydz/FLUO_LIGHT/PROCESSED/NC/ct157-F118-20_all_prof_PROCESSED.nc,ct157-F118-20,19,0.0107649417922777,0.0089465894681565,0.0082603539614116,0.0027331775602172,0.0003023535451468,0.0423999987542629,59.1231803894043,AQUA,17,0.0231979982857894,0.0522945150732994,0.0129038756713271
/Volumes/Data/Work/SEALTAGS/Prydz/FLUO_LIGHT/PROCESSED/NC/ct157-F118-20_all_prof_PROCESSED.nc,ct157-F118-20,21,0.0115722676118214,0.0095956007639567,0.0090180007119973,0.0045001340409119,0.00044733385245,0.0607894733548164,55.99662780761719,SUOMI_NPP,15,0.0176625490330256,0.0117161786183714,0.0001528790307929
/Volumes/Data/Work/SEALTAGS/Prydz/FLUO_LIGHT/PROCESSED/NC/ct157-F118-20_all_prof_PROCESSED.nc,ct157-F118-20,21,0.0100844452778498,0.0087593342694971,0.0085804458293649,0.0042893340190251,0.0004086672431892,0.060879997909069,55.80733108520508,SUOMI_NPP,9,0.0074873340925278,0.0129085890948772,0.0006437026895582
/Volumes/Data/Work/SEALTAGS/Prydz/FLUO_LIGHT/PROCESSED/NC/ct157-F118-20_all_prof_PROCESSED.nc,ct157-F118-20,21,0.0114390007220208,0.0096057509072124,0.0092506257351487,0.0042892512865364,0.0004553759936243,0.0605519972741603,55.848480224609375,NOAA_20,16,0.0062924323839683,0.0093552125617861,0.0004015131562482
/Volumes/Data/Work/SEALTAGS/Prydz/FLUO_LIGHT/PROCESSED/NC/ct157-F118-20_all_prof_PROCESSED.nc,ct157-F118-20,21,0.0081646678348382,0.0082290671765804,0.0086784007648626,0.0042209334671497,0.0005465343594551,0.0639360025525093,55.836795806884766,NOAA_20,15,0.0133772322948116,0.0149030303582549,0.0014245975762605
/Volumes/Data/Work/SEALTAGS/Prydz/FLUO_LIGHT/PROCESSED/NC/ct157-F118-20_all_prof_PROCESSED.nc,ct157-F118-20,21,0.0113065724394151,0.009210715336459,0.0088728578495127,0.0039070001138108,0.0004218585257019,0.0615600012242794,56.25944519042969,AQUA,14,0.0047726183098668,0.0087659209966659,0.0005283832433633
/Volumes/Data/Work/SEALTAGS/Prydz/FLUO_LIGHT/PROCESSED/NC/ct157-F118-20_all_prof_PROCESSED.nc,ct157-F118-20,18,0.0098617788818147,0.008886334589786,0.0078494449456532,0.0027317783484856,0.0002476674401097,0.039719995111227,59.14992141723633,SUOMI_NPP,18,0.0148050810996543,0.0242529660463333,0.0012533599510788
