depth,PAR_ADJUSTED
0.0,393.4104
5.0,199.2143
10.0,109.012
15.0,61.6124
20.0,37.6806
25.0,23.4907
30.0,13.5943
35.0,8.3705
40.0,4.9462
45.0,2.9353
50.0,1.7786
55.0,1.1367
60.0,0.7202
65.0,0.5028
70.0,0.3457
75.0,0.244
80.0,0.1639
85.0,0.1186
90.0,0.0894
95.0,0.0663
100.0,0.0488
105.0,0.0389
110.0,0.0295
115.0,0.0251
120.0,0.0177
125.0,0.015
130.0,0.0134
135.0,0.0131
140.0,0.0101
145.0,0.0082
150.0,0.0077
155.0,0.0062
160.0,0.0054
165.0,0.0049
170.0,0.0046
175.0,0.0045
180.0,0.0037
185.0,0.0033
190.0,0.0034
195.0,0.0029
200.0,0.0027
205.0,0.002
210.0,0.002
215.0,0.0021
220.0,0.0019
225.0,0.0021
230.0,0.002
235.0,0.0021
240.0,0.0027
245.0,0.002
250.0,0.0021
