depth,PAR_ADJUSTED
0.0,108.584
5.0,68.7007
10.0,43.6464
15.0,30.3894
20.0,17.7044
25.0,15.7537
30.0,8.5687
35.0,7.7785
40.0,5.5287
45.0,3.7669
50.0,2.6609
55.0,1.752
60.0,1.3527
65.0,0.8209
70.0,0.7171
75.0,0.4727
80.0,0.3248
85.0,0.2149
90.0,0.1375
95.0,0.1294
100.0,0.0862
105.0,0.0671
110.0,0.0475
115.0,0.034
120.0,0.026
125.0,0.027
130.0,0.0206
135.0,0.0157
140.0,0.013
145.0,0.01
150.0,0.01
155.0,0.0078
160.0,0.0066
165.0,0.0065
170.0,0.0053
175.0,0.0045
180.0,0.0037
185.0,0.0039
190.0,0.0036
195.0,0.0031
200.0,0.0039
205.0,0.0031
210.0,0.003
215.0,0.0024
220.0,0.0026
225.0,0.0024
230.0,0.002
235.0,0.0019
240.0,0.0017
245.0,0.0015
250.0,0.0011
