depth,ED490_ADJUSTED
0.0,0.15476
5.0,0.11276
10.0,0.08213
15.0,0.05992
20.0,0.04279
25.0,0.03025
30.0,0.02243
35.0,0.01589
40.0,0.01266
45.0,0.00938
50.0,0.00747
55.0,0.00574
60.0,0.00445
65.0,0.00331
70.0,0.00255
75.0,0.00189
80.0,0.00155
85.0,0.00111
90.0,0.00085
95.0,0.00074
100.0,0.00058
105.0,0.00044
110.0,0.00035
115.0,0.0003
120.0,0.00024
125.0,0.00021
130.0,0.00016
135.0,0.00014
140.0,0.00011
145.0,9e-05
150.0,7e-05
155.0,6e-05
160.0,5e-05
165.0,4e-05
170.0,4e-05
175.0,3e-05
180.0,2e-05
185.0,2e-05
190.0,2e-05
195.0,2e-05
200.0,2e-05
205.0,1e-05
210.0,1e-05
215.0,1e-05
220.0,1e-05
225.0,1e-05
230.0,1e-05
235.0,1e-05
240.0,1e-05
245.0,1e-05
250.0,1e-05
