depth,ED490_ADJUSTED
0.0,0.10155
5.0,0.08944
10.0,0.06351
15.0,0.04732
20.0,0.03746
25.0,0.02651
30.0,0.02019
35.0,0.01568
40.0,0.01247
45.0,0.00936
50.0,0.00751
55.0,0.00556
60.0,0.00419
65.0,0.00295
70.0,0.00233
75.0,0.00182
80.0,0.00142
85.0,0.00095
90.0,0.00072
95.0,0.00054
100.0,0.00043
105.0,0.00034
110.0,0.00026
115.0,0.00021
120.0,0.00015
125.0,0.00013
130.0,0.0001
135.0,9e-05
140.0,7e-05
145.0,5e-05
150.0,4e-05
155.0,4e-05
160.0,3e-05
165.0,2e-05
170.0,2e-05
175.0,2e-05
180.0,1e-05
185.0,1e-05
190.0,1e-05
195.0,1e-05
200.0,1e-05
205.0,1e-05
210.0,1e-05
215.0,1e-05
220.0,1e-05
225.0,0.0
230.0,0.0
235.0,0.0
240.0,0.0
245.0,0.0
250.0,0.0
