depth,ED490_ADJUSTED
0.0,0.21795
5.0,0.15262
10.0,0.08918
15.0,0.05659
20.0,0.03556
25.0,0.02151
30.0,0.01339
35.0,0.00805
40.0,0.00597
45.0,0.0048
50.0,0.00315
55.0,0.00192
60.0,0.00144
65.0,0.0012
70.0,0.0009
75.0,0.00071
80.0,0.00061
85.0,0.00039
90.0,0.00026
95.0,0.00022
100.0,0.00021
105.0,0.00016
110.0,0.00013
115.0,0.0001
120.0,8e-05
125.0,8e-05
130.0,6e-05
135.0,5e-05
140.0,5e-05
145.0,3e-05
150.0,3e-05
155.0,3e-05
160.0,2e-05
165.0,2e-05
170.0,2e-05
175.0,2e-05
180.0,1e-05
185.0,1e-05
190.0,1e-05
195.0,1e-05
200.0,1e-05
205.0,1e-05
210.0,1e-05
215.0,1e-05
220.0,1e-05
225.0,1e-05
230.0,1e-05
235.0,1e-05
240.0,1e-05
245.0,1e-05
250.0,1e-05
