depth,ED490_ADJUSTED
0.0,0.38229
5.0,0.23761
10.0,0.12726
15.0,0.0655
20.0,0.03594
25.0,0.01994
30.0,0.0095
35.0,0.00533
40.0,0.00319
45.0,0.00242
50.0,0.00157
55.0,0.00105
60.0,0.00073
65.0,0.00051
70.0,0.00049
75.0,0.0003
80.0,0.00026
85.0,0.0002
90.0,0.00014
95.0,0.00011
100.0,0.0001
105.0,7e-05
110.0,7e-05
115.0,5e-05
120.0,4e-05
125.0,4e-05
130.0,3e-05
135.0,3e-05
140.0,2e-05
145.0,2e-05
150.0,2e-05
155.0,1e-05
160.0,1e-05
165.0,1e-05
170.0,1e-05
175.0,1e-05
180.0,1e-05
185.0,1e-05
190.0,1e-05
195.0,1e-05
200.0,1e-05
205.0,1e-05
210.0,1e-05
215.0,1e-05
220.0,1e-05
225.0,0.0
230.0,1e-05
235.0,0.0
240.0,0.0
245.0,1e-05
250.0,1e-05
