depth,ED412_ADJUSTED
0.0,0.58601
5.0,0.43739
10.0,0.2812
15.0,0.20635
20.0,0.1471
25.0,0.10329
30.0,0.06687
35.0,0.04374
40.0,0.0268
45.0,0.01766
50.0,0.01309
55.0,0.00775
60.0,0.00593
65.0,0.00379
70.0,0.00235
75.0,0.00172
80.0,0.00096
85.0,0.00076
90.0,0.00051
95.0,0.00039
100.0,0.00031
105.0,0.00019
110.0,0.00014
115.0,0.00012
120.0,0.0001
125.0,9e-05
130.0,7e-05
135.0,4e-05
140.0,4e-05
145.0,3e-05
150.0,2e-05
155.0,1e-05
160.0,1e-05
165.0,1e-05
170.0,1e-05
175.0,1e-05
180.0,1e-05
185.0,0.0
190.0,0.0
195.0,0.0
200.0,0.0
205.0,0.0
210.0,0.0
215.0,0.0
220.0,0.0
225.0,0.0
230.0,0.0
235.0,0.0
240.0,0.0
245.0,0.0
250.0,0.0
