depth,ED412_ADJUSTED
0.0,0.49169
5.0,0.36187
10.0,0.24791
15.0,0.17113
20.0,0.11675
25.0,0.08006
30.0,0.05173
35.0,0.03537
40.0,0.02449
45.0,0.01591
50.0,0.01132
55.0,0.0078
60.0,0.00507
65.0,0.00354
70.0,0.00242
75.0,0.00158
80.0,0.00108
85.0,0.00076
90.0,0.00053
95.0,0.00038
100.0,0.00025
105.0,0.00018
110.0,0.00013
115.0,0.00011
120.0,8e-05
125.0,6e-05
130.0,5e-05
135.0,4e-05
140.0,3e-05
145.0,2e-05
150.0,2e-05
155.0,1e-05
160.0,1e-05
165.0,1e-05
170.0,1e-05
175.0,1e-05
180.0,1e-05
185.0,1e-05
190.0,0.0
195.0,0.0
200.0,0.0
205.0,0.0
210.0,0.0
215.0,0.0
220.0,0.0
225.0,0.0
230.0,0.0
235.0,0.0
240.0,0.0
245.0,0.0
250.0,0.0
