depth,ED412_ADJUSTED
0.0,0.18387
5.0,0.1117
10.0,0.06083
15.0,0.03431
20.0,0.01842
25.0,0.0111
30.0,0.00609
35.0,0.00322
40.0,0.00173
45.0,0.00095
50.0,0.00058
55.0,0.00039
60.0,0.00021
65.0,0.00015
70.0,0.0001
75.0,7e-05
80.0,5e-05
85.0,3e-05
90.0,3e-05
95.0,2e-05
100.0,2e-05
105.0,1e-05
110.0,1e-05
115.0,1e-05
120.0,1e-05
125.0,1e-05
130.0,1e-05
135.0,1e-05
140.0,1e-05
145.0,1e-05
150.0,1e-05
155.0,1e-05
160.0,1e-05
165.0,1e-05
170.0,1e-05
175.0,1e-05
180.0,1e-05
185.0,1e-05
190.0,1e-05
195.0,1e-05
200.0,1e-05
205.0,1e-05
210.0,1e-05
215.0,1e-05
220.0,1e-05
225.0,1e-05
230.0,1e-05
235.0,1e-05
240.0,1e-05
245.0,1e-05
250.0,1e-05
