depth,ED412_ADJUSTED
0.0,0.33385
5.0,0.2524
10.0,0.16551
15.0,0.11552
20.0,0.07897
25.0,0.05496
30.0,0.03591
35.0,0.02384
40.0,0.01652
45.0,0.00996
50.0,0.00809
55.0,0.00504
60.0,0.00346
65.0,0.00244
70.0,0.00173
75.0,0.00132
80.0,0.00088
85.0,0.00065
90.0,0.00053
95.0,0.00037
100.0,0.0003
105.0,0.00019
110.0,0.00015
115.0,0.00012
120.0,0.0001
125.0,7e-05
130.0,5e-05
135.0,4e-05
140.0,3e-05
145.0,3e-05
150.0,2e-05
155.0,1e-05
160.0,1e-05
165.0,1e-05
170.0,1e-05
175.0,1e-05
180.0,1e-05
185.0,1e-05
190.0,0.0
195.0,1e-05
200.0,0.0
205.0,0.0
210.0,0.0
215.0,0.0
220.0,0.0
225.0,0.0
230.0,0.0
235.0,0.0
240.0,0.0
245.0,0.0
250.0,0.0
