depth,ED412_ADJUSTED
0.0,0.2244
5.0,0.14659
10.0,0.08608
15.0,0.05375
20.0,0.03379
25.0,0.02195
30.0,0.01319
35.0,0.00797
40.0,0.00546
45.0,0.00328
50.0,0.00234
55.0,0.00174
60.0,0.00112
65.0,0.0008
70.0,0.00056
75.0,0.00041
80.0,0.0003
85.0,0.00021
90.0,0.00016
95.0,0.00012
100.0,9e-05
105.0,7e-05
110.0,5e-05
115.0,4e-05
120.0,3e-05
125.0,3e-05
130.0,2e-05
135.0,2e-05
140.0,2e-05
145.0,1e-05
150.0,1e-05
155.0,1e-05
160.0,1e-05
165.0,1e-05
170.0,1e-05
175.0,1e-05
180.0,1e-05
185.0,1e-05
190.0,1e-05
195.0,1e-05
200.0,1e-05
205.0,1e-05
210.0,1e-05
215.0,1e-05
220.0,1e-05
225.0,1e-05
230.0,1e-05
235.0,1e-05
240.0,1e-05
245.0,1e-05
250.0,1e-05
